I have integrated the tables from the data lake using Select-Project-Join-Union queries to reproduce the example table. Here is the tabular result:

| custkey | c_name              | c_address                             | nationkey | c_phone          | c_acctbal | mktsegment | n_name | n_comment                                              |
|---------|---------------------|---------------------------------------|-----------|------------------|-----------|------------|--------|--------------------------------------------------------|
| 20072   | jfjmpyxtec          | rJgwmlvd8N3 rea                      | 98416     | 31-944-768-4169 | 3942.69   | BUILDING   | nan    | nan                                                    |
| 29914   | Customer#000029914  | jmuskrccbi                           | 14        | 24-363-612-9039 | 9292.29   | MACHINERY  | nan    | nan                                                    |
| 36754   | Customer#000036754  | gwhxthucef                           | 14        | 24-719-816-2983 | -754.63   | BUILDING   | nan    | nan                                                    |
| 38842   | Customer#000038842  | STLboyuwjUHxKQMu9Qjozg6F,Emzh8n      | 7         | 17-653-865-8703 | 3587.62   | MACHINERY  | nan    | nan                                                    |
| 40192   | Customer#000040192  | 2oauJhhHRN6ECzT6km,hZhOXi4hL          | 770951    | rbvvqhpijw       | 5711.01   | BUILDING   | nan    | nan                                                    |
| 42382   | Customer#000042382  | RlPmdIHgbzjyaeycGMLQ1425sClEwIReE7oNMQ | 5         | 15-257-541-2452 | 4553.99   | HOUSEHOLD  | nan    | nan                                                    |
| 46429   | oamuvvdbbh          | 2YX4MCUZyba59PfgyCX5mtfNMgvyU0jxVf66eXgY | 2         | 12-665-546-5226 | 811.89    | MACHINERY  | nan    | nan                                                    |
| 56941   | Customer#000056941  | mh5crtVfXMl41S8xIq                   | 1         | 11-516-696-2419 | 5918.5    | HOUSEHOLD  | nan    | nan                                                    |
| 60310   | Customer#000060310  | aLcptO7Sz49DuwAQpXaP2lyXA             | 16        | 26-463-290-9971 | 4118.83   | BUILDING   | nan    | nan                                                    |
| 68609   | Customer#000068609  | hujlzcnmjm                           | 24        | ujfsbbedci      | -371.01   | MACHINERY  | nan    | nan                                                    |
| 74524   | Customer#000074524  | Q,63JuizyNGD6xfK                     | 8         | taiytpoqbv      | 239491    | HOUSEHOLD  | nan    | nan                                                    |
| 76360   | Customer#000076360  | CJZjPvD,YFLUvhZq                     | 841058    | ovstoyrkwx      | 8561.2    | BUILDING   | nan    | nan                                                    |
| 86057   | rgxjlotgko          | qkyfadlywi                           | 230706    | 29-989-848-2892 | 6840.62   | FURNITURE  | nan    | nan                                                    |
| 86621   | Customer#000086621  | NAcYHq6lQVY73TaUOpX4                 | 384095    | 34-285-355-3694 | 158269    | HOUSEHOLD  | nan    | nan                                                    |
| 99898   | Customer#000099898  | hsbfakoibi                           | nan       | nan              | nan       | nan        | nan    | nan                                                    |
| 123919  | wfnunpymth          | Me5nZdvBuvV89dtF                     | 20        | 30-807-714-8321 | 314182    | nan        | nan    | nan                                                    |
| 141361  | Customer#000141361  | uvzejoyvsb                           | 244221    | laktcvnaym      | 4768.87   | MACHINERY  | nan    | nan                                                    |
| 147725  | Customer#000147725  | lzpZaBuVjZJswYZfmc                  | 108576    | ivybmjhsch      | 9983.58   | HOUSEHOLD  | nan    | nan                                                    |
| 157986  | Customer#000157986  | gg3phY5fWv2G,4L87pNMFGW3          | 16        | 26-729-427-4389 | 773.01    | MACHINERY  | nan    | nan                                                    |
| 162480  | xylhwgjotg          | msIYWDkQ0n2MPWtiZDgXHmfyYi4DRZP    | 21        | 31-479-914-3488 | 5133.95   | HOUSEHOLD  | nan    | nan                                                    |

Please note that some columns such as `n_name` and `n_comment` are not available in the provided data, so those values are shown as "nan." If you have any specific requirements or modifications, feel free to let me know.
