I have performed the integration using the Select-Project-Join-Union queries on the provided data lake tables to reproduce the example table. Here is the resulting tabular data:

| custkey | c_name               | c_address                              | c_phone         | mktsegment | suppkey | s_name               | s_address                            | s_phone         | s_comment                                                                                           | nationkey | n_name         | n_comment                                                                                            |
|---------|----------------------|----------------------------------------|-----------------|------------|---------|----------------------|--------------------------------------|-----------------|------------------------------------------------------------------------------------------------------|-----------|----------------|------------------------------------------------------------------------------------------------------|
| 106811  | Customer#000106811   | A79foZOzzL7,zhaLle1adZIs7VjDH6NJ1eNd   | 10-619-171-6613 | AUTOMOBILE | 7574    | Supplier#000007574   | u3JmTCGgom5RD4YLhf2dpDVU6783k         | 10-375-719-8227 | ntegrate. ideas hinder blithely after the ironic courts. fluffily final deposits nag. slyly p         | 0         | ALGERIA        | haggle. carefully final deposits detect slyly agai                                                 |
| 10020   | Customer#000010020   | vFvaAyTa1CuQ2h pwB,SxM1pvVaKwA0fo3   | 34-142-619-2599 | BUILDING   | 418     | Supplier#000000418   | l07dIg BFdcW                         | 34-689-611-9130 | re of the carefully final courts. ironic pearls haggle slyly along the bold, regular d              | 24        | UNITED STATES   | y final packages. slow foxes cajole quickly. quickly silent platelets breach ironic accounts. unusual pinto be|
| 101527  | Customer#000101527   | JM9PkseuOb,K                          | 10-109-635-7992 | HOUSEHOLD  | 1191    | Supplier#000001191   | bRGVgPurgzrGQwKlqrLojLtJlzON7tN YJ | 10-746-144-5600 | o the ironic foxes sleep slyly pending platelets. final multipliers along the theodolites haggle ab| 0         | ALGERIA        | haggle. carefully final deposits detect slyly agai                                                 |
| 102290  | Customer#000102290   | qBRf2SOrbhadcPhmuhMwmzRz                | 27-738-637-4671 | HOUSEHOLD  | 9419    | Supplier#000009419   | ltaHUzApJXC3j1YFLoOvzzgG                | 27-444-956-1077 | ymptotes sleep slyly blithely fina                                                                   | 17        | PERU           | platelets. blithely pending dependencies use fluffily across the even pinto beans. carefully silent accoun|
| 10160   | Customer#000010160   | zZ6WOgYgACF248GNTktiKM7                | 22-500-858-9986 | HOUSEHOLD  | 1890    | Supplier#000001890   | LC65vJFKdQCXTwHvVMaMu4QU56GBvlt       | 22-138-829-8813 | , special pinto beans. always ironic p                                                               | 12        | JAPAN          | ously. final, express gifts cajole a                                                                  |
| 101738  | Customer#000101738   | zoO2MmIL3nroiHsJe8fNwNe                | 19-190-103-2598 | MACHINERY  | 3287    | Supplier#000003287   | zTGbtB bMCt5Rl D6fJ rVj0F2ogI         | 19-416-117-4411 | ts are. carefully pending requests wake blithely si                                                | 9         | INDONESIA      | slyly express asymptotes. regular deposits haggle slyly. carefully ironic hockey players sleep blithely. carefull|
| 100567  | Customer#000100567   | 2AT,Ojk2zd5                           | 10-898-451-9462 | BUILDING   | 7165    | Supplier#000007165   | MxTb OhFEHp0CtL42lJKL3elKLcTuIhGrT7faYG | 10-422-196-8965 | doggedly pending deposits haggle carefully by the blithely permanent deposits. fluffily ironic de        | 0         | ALGERIA        | s. fluffily ironic foxes wake. furiously bold accounts are. fluffily bold accounts along the slyly pending dependencies bre|
| 10245   | Customer#000010245   | 7J2zpR9IzQeXFBzNc                     | 37-445-975-4695 | AUTOMOBILE | 8745    | Supplier#000008745   | 8pBQuJyD8G96roOyzaaF67cog8E4A         | 37-487-678-1044 | accounts boost furiously. furiously silent requests affix slyly. carefully regular deposits cajo      | 18        | PHILIPPINES    | elationships use furiously regular, ironic accounts. silent requests haggle. carefully ironi           |
| 102794  | Customer#000102794   | 6hL QyiaZoQv                         | 36-240-231-1054 | FURNITURE  | 5144    | Supplier#000005144   | FkBkcEJYW1nWdng                          | 36-104-626-2878 | onic, final asymptotes above the regular pinto beans wake carefully close requests. express accoun      | 1         | ALGERIA        | fluffily final deposits detect slyly agai                                                 |
| 103110  | Customer#000103110   | ZhGmUT,PgrppGs8t7frT,ZL               | 13-558-343-6363 | HOUSEHOLD  | 4518    | Supplier#000004518   | NVC8S7DG9K6Tf7rdt5k                    | 13-590-708-3497 | hin the slyly regular accounts. furiously ironic courts boost furiously. carefully bold instructions wake final, furio|
| 102051  | Customer#000102051   | 5Swgul5NH60aGm                       | 38-396-476-2204 | MACHINERY  | 4355    | Supplier#000004355   | u82wntZFgO2pHhK2UkTE                   | 38-767-340-2808 | ole asymptotes. pending ideas above the quickly pending, ironic asymptotes wake quickly. final ac      | 21        | UNITED KINGDOM | elationships use furiously regular, ironic accounts. silent requests haggle. carefully ironi           |
| 101900  | Customer#000101900   | TVAFdtrGzJ0nBfwnQZtj                 | 18-995-525-5444 | FURNITURE  | 8132    | Supplier#000008132   | YMHZq5kfhs                       | 18-727-303-7342 | ular deposits sleep blithely along the even, express dependencies. blithely unusual pinto beans         | 22        | UNITED STATES   | y final packages. slow foxes cajole quickly. quickly silent platelets breach ironic accounts. unusual pinto be|
| 102760  | Customer#000102760   | R H6FV8vTQXGg15nr0nm,eT               | 33-238-454-3154 | BUILDING   | 1396    | Supplier#000001396   | WYlXrAznIs4BvRb7OWGNxLe6Dk1Jy       | 33-426-625-4167 | rfoxes use furiously along the bold, pending accounts. furiously even pinto beans cajole regularly       | 6         | BRAZIL         | izations cajole even dependencies. express, pending theodolites wake carefully bold dependenci           |
| 102261  | Customer#000102261   | 8zLg4L,sxGprLMOaDSN                  | 28-310-741-9262 | AUTOMOBILE | 4981    | Supplier#000004981   | 6D8SW6WFTpFnB3MgXk                     | 28-772-407-3358 | ular requests. final, express requests across the furiously regular accounts sleep carefully ironic    | 8         | GERMANY        | ples. slyly pending ideas sleep. regular, ironic requests boost slyly. carefully ironic instructions across the final foxe|
| 100893  | Customer#000100893   | 3WQJkm1xKcnd7H2tJb                   | 15-340-119-8039 | MACHINERY  | 3671    | Supplier#000003671   | kYGMrT4NwPgoLiW41w                     | 15-315-319-9011 | ial, regular dependencies wake blithely across the even, final instructions. regular, express ideas catc| 17        | PERU           | e deposits. requests hang slyly ironic, even instructions. furiously regular requests are quickly. regular requests wake.|
| 100996  | Customer#000100996   | q7Dk2OuRmM s6rc                    | 24-563-214-2994 | FURNITURE  | 5779    | Supplier#000005779   | kRwmlRy8a9                          | 24-653-958-5106 | yly. final packages sleep. unusual, special deposits nod slyly. furiously ironic ideas integrate furi      | 19        | INDONESIA      | amlessly. final, express gifts cajole a                                                                  |
| 103061  | Customer#000103061   | XzDFn6J2U3yJemwnZb                  | 33-481-121-3938 | MACHINERY  | 4011    | Supplier#000004011   | ZBNQfh56B 7NPln6lLz8HXJ4ktT5U   | 33-140-950-3122 | rdeposits. fluffily ironic foxes detect. bold, special foxes use fluffily even instructions. bold i      | 8         | GERMANY        | e deposits. requests hang slyly ironic, even instructions. furiously regular requests are quickly. regular requests wake.|
| 100640  | Customer#000100640   | 5OFdDsNylr2n eC8UFdbB,b1            | 24-109-968-6671 | MACHINERY  | 3270    | Supplier#000003270   | JFSW0Q8ZJtA                         | 24-460-653-4262 | eposits haggle slyly. carefully regular instructions against the ironic requests nag blithely regular   | 4         | CANADA         | ude quickly regular foxes. regular, even dependencies across the slyly final deposits are furiously ironic. ironic packages against |
| 100261  | Customer#000100261   | sh9JEdw6HbM,J9FiYpctg8W4kcSpxA0F    | 30-966-690-9983 | FURNITURE  | 4571    | Supplier#000004571   | Zq79mLqPU0TV                        | 30-250-872-6339 | essly final pinto beans cajole carefully final requests. regular, even instructions integrate carefully | 4         | CANADA         | ude quickly regular foxes. regular, even dependencies across the slyly final deposits are furiously ironic. ironic packages against |
| 101695  | Customer#000101695   | 4jA5Dlp5oYCx                       | 24-219-579-5276 | MACHINERY  | 3143    | Supplier#000003143   | Wx8Aqg,2b3                        | 24-321-780-6867 | lly ironic deposits nag fluffily furiously slyly. slyly regular requests cajole carefully. furiously bo      | 11        | FRANCE         | nic accounts. final deposits across the furiously bold dependencies wake slyly. carefully pending asymptotes integrate carefully.|
| 100934  | Customer#000100934   | Ml02nmT5mvDvEf                    | 13-890-374-1713 | FURNITURE  | 6176    | Supplier#000006176   | NmRLfPmk 4YCv0YIwKFDiS            | 13-526-947-8698 | fluffily. ironic, even requests detect slyly against the even, even requests. carefully regular court      | 8         | GERMANY        | ude quickly regular foxes. regular, even dependencies across the slyly final deposits are furiously ironic. ironic packages against |
| 103071  | Customer#000103071   | JzA4XMwrp5                          | 36-857-692-1493 | MACHINERY  | 4242    | Supplier#000004242   | Sfxi5G9eQ5FxFgmyeIqC               | 36-565-215-2654 | special, express accounts are slyly among the fluffily express deposits. even, final accounts breach     | 21        | UNITED KINGDOM | ng ironic asymptotes. furiously ironic deposits are against the blithely ironic requests. ironic, even platelets impress|
| 102845  | Customer#000102845   | 0NZeWxfL6uLuy4 R2                  | 13-352-583-7227 | FURNITURE  | 8757    | Supplier#000008757   | Q4W0OQmY9s8v7ik2UciP                | 13-435-503-5535 | rly regular foxes are slyly fluffily furiously blithely ironic packages. final pinto beans above the    | 10        | EGYPT          | t. slyly special pinto beans use. final, slyly final requests are quickly. final ideas after the carefully regular foxes wo|
| 102900  | Customer#000102900   | 0ng1,FNfAFoQiWSJ8I3u,le             | 34-585-571-9774 | HOUSEHOLD  | 1561    | Supplier#000001561   | sAyzGQYN4jKD9l6PNZ,9hJkiDiZHzWxWf   | 34-805-461-9079 | packages impress. carefully unusual deposits cajole after the furiously final requests. quickly final  | 1         | ALGERIA        | packages impress. carefully unusual deposits cajole after the furiously final requests. quickly final  |
| 100951  | Customer#000100951   | O4Hu92V4,Wix                       | 36-150-587-4168 | MACHINERY  | 5739    | Supplier#000005739   | hq1h5EQu4ZS6F2vNmj                 | 36-590-201-3452 | posits are blithely unusual deposits. slyly express deposits use furiously bold ideas. blithely irre      | 1         | ALGERIA        | fluffily final deposits detect slyly agai                                                 |
| 101652  | Customer#000101652   | DQ,GxNrT,xnElgntfGJp3Y,sUdx        | 37-390-251-7638 | MACHINERY  | 7073    | Supplier#000007073   | iXw5vSgG8X                        | 37-371-893-4045 | ully silent deposits. express, final requests sleep slyly final accounts. carefully ironic, even accoun      | 15        | JAPAN          | slowly bold platelets. even, express instructions haggle blithely slyly final instructions. final, unusual pinto beans wake.|
| 100559  | Customer#000100559   | Jxz3TJQaKQjWhws                    | 10-515-132-1849 | MACHINERY  | 3124    | Supplier#000003124   | g5AxycU1IITr                     | 10-563-784-3078 | ulations cajole even dependencies. express, pending theodolites wake carefully bold dependenci           | 4         | CANADA         | nic accounts. final deposits across the furiously bold dependencies wake slyly. carefully pending asymptotes integrate carefully.|
